Quantity	Manufacturer Part	Manufacturer	LCSC Part
1	CC0402KRX7R7BB104	YAGEO(国巨)	C60474
1	MT6701CT-STD	MagnTek(麦歌恩)	C2856764
1	SESD5Z5V	SINO-IC(光宇睿芯)	C19631222
1	ANR3015T4R7M	APV(爱普微)	C7427089
1	B3B-XH-A(LF)(SN)	JST	C144394
1	CL10B223KB8NNNC	SAMSUNG(三星)	C21122
1	FRC0603F1103TS	FOJAN(富捷)	C2906984
1	FRC0603F1502TS	FOJAN(富捷)	C2906995
1	FRC1206F10R0TS	FOJAN(富捷)	C2907371
1	GL0603UB01	Guiguang light(桂光光电)	C51933294
1	MST22D18G2 125	SHOU HAN(首韩)	C2906280
1	MT2492	西安航天民芯	C89358
1	RC0402FR-07100KL	YAGEO(国巨)	C60491
1	XT30PW-M30.G.Y	AMASS(艾迈斯)	C431092
2	CL21A226MQQNNNE	SAMSUNG(三星)	C5674
4	B5B-XH-A(LF)(SN)	JST	C157991
4	CC0402KRX7R7BB104	YAGEO(国巨)	C60474
4	CL05B104KO5NNNC	SAMSUNG(三星)	C1525
4	CL21A106KAYNNNE	SAMSUNG(三星)	C15850
4	CL21A226MAQNNNE	SAMSUNG(三星)	C45783
4	DB142R-5.08-2P-GN	DORABO(地博电气)	C2898709
4	DRV8833PWPR	TI(德州仪器)	C50506
4	MT6701CT-STD	MagnTek(麦歌恩)	C2856764
4	SESD5Z5V	SINO-IC(光宇睿芯)	C19631222
